"Address Type";"City";"Contact Name";"Country Name";"Customer";"E-Mail";"Phone";"Street";"Street2";"Supplier";"Title";"Zip";"Partner Name";"Partner Language";"Partner Country Name";"Partner City";"Salesman Name";"Salesman Email"
"default";"Paris";"Arthur Grosbonnet";"France";1;"a.g@wealthyandsons.com";3368978776;"1 rue Rockfeller";;0;"Sir";75016;"Bank Wealthy and sons";"en_US";"France";"Paris";"Lucie Weiss";"lucie.weis@dns.org"
"default";"Bruxelles";"Carl François";"Belgium";1;"carl.françois@bml.be";"+32-258-256545";"89 Chaussée de Waterloo";;0;;1000;"Centrale d'achats BML";"en_US";"Belgium";"Bruxelles";"Lucie Weiss";"lucie.weis@dns.org"
"default";"Buenos Aires";"Jack Daniels";"Argentina";1;"contact@smartbusiness.ar";"(5411) 4773-9666 ";"Palermo, Capital Federal ";"C1414CMS Capital Federal ";0;;1659;"SmartBusiness";"en_US";"Argentina";"Buenos Aires";"Lucie Weiss";"lucie.weis@dns.org"
"default";"Liege";"Karine Lesbrouffe";"Belgium";1;"k.lesbrouffe@eci-liege.info";"+32 421 52571";"2 Impasse de la Soif";;0;;6985;"Ecole de Commerce de Liege";"en_US";"Belgium";"Liege";"Lucie Weiss";"lucie.weis@dns.org"
"default";"Champs sur Marne";"Laith Jubair";"France";1;"info@axelor.com";"+33 1 64 61 04 01";"12 rue Albert Einstein";;1;;77420;"Axelor";"en_US";"France";"Champs sur Marne";"Lucie Weiss";"lucie.weis@dns.org"
"default";"Avignon CEDEX 09";"Laurent Jacot";"France";1;"contact@tecsas.fr";"(+33)4.32.74.10.57";"85 rue du traite de Rome";;0;;84911;"Tecsas";"en_US";"France";"Avignon CEDEX 09";"Lucie Weiss";"lucie.weis@dns.org"
"default";"Grenoble";"Loïc Dupont";"China";1;"l.dupont@tecsas.fr";"+33-658-256545";"Rue Lavoisier 145";;0;;38100;"Tecsas";"en_US";"France";"Avignon CEDEX 09";"Lucie Weiss";"lucie.weis@dns.org"
"default";"Namur";"Lucien Ferguson";;1;"lucien.ferguson@bml.be";"+32-621-568978";"89 Chaussée de Liège";;0;;5000;"Magazin BML 1";"en_US";;"Namur";"Lucie Weiss";"lucie.weis@dns.org"
"default";"Lausanne";"Luc Maurer";"Switzerland";1;;"+41 21 619 10 04";"PSE-A, EPFL ";;1;;1015;"Camptocamp";"en_US";"Switzerland";"Lausanne";"Lucie Weiss";"lucie.weis@dns.org"
"default";"Brest";"Marine Leclerc";;1;"marine@leclerc.fr";"+33-298.334558";"rue Grande";;0;;29200;"Leclerc";"en_US";;"Brest";"Lucie Weiss";"lucie.weis@dns.org"
